id,Name,processed_text,cluster_k10,cluster_k25,cluster_k50
38,Перемикач I-0-II 230V 2-полюсний Hager SFB216 16А вихід знизу (Перемикач вводу резерву),перемикач i 0 ii 230v 2 полюсний hager sfb216 16а вихід знизу перемикач вводу резерву,10,25,48
39,Реле проміжне 230V AC 10А E.Next e.control.p1036 i.ly3.230ac,реле проміжне 230v ac 10а e next e control p1036 i ly3 230ac,10,23,45
40,Роз’єм модульний до реле ly3 10А E.Next e.control.p103s i.ptf.11a,роз єм модульний до реле ly3 10а e next e control p103s i ptf 11a,8,20,38
41,Роз’єм модульний до реле ly4 10А E.Next e.control.p104s i.ptf.14a,роз єм модульний до реле ly4 10а e next e control p104s i ptf 14a,8,20,38
42,Реле проміжне 230V AC 10А E.Next e.control.p1046 i.ly4.230ac,реле проміжне 230v ac 10а e next e control p1046 i ly4 230ac,10,23,45
43,Лампа розжарювання МО Е27 40W/ 12V,лампа розжарювання мо е27 40w 12v,10,23,45
44,Перемикач DIN I-0-II 4-полюсний E.Next e.is3.pro.4.40 40А p008025,перемикач din i 0 ii 4 полюсний e next e is3 pro 4 40 40а p008025,1,2,5
45,Перемикач DIN I-0-II 2-полюсний ETI SSQ 240 40А 002421425,перемикач din i 0 ii 2 полюсний eti ssq 240 40а 002421425,1,2,5
46,Розетка із заземлюючим контактом SHUKO на DIN-рейку Schneider A9A15310 16A 250V,розетка із заземлюючим контактом shuko на din рейку schneider a9a15310 16a 250v,10,25,48
47,Індикатор модульний LED Hager SVN121 зелений,індикатор модульний led hager svn121 зелений,1,1,1
48,Корпус зовнішній димчасті дверки Golf IP40/II Hager VS108TD 8 модулів ніша 184*210*99,корпус зовнішній димчасті дверки golf ip40 ii hager vs108td 8 модулів ніша 184 210 99,6,13,30
49,Тримач з клемами 16*N+14*PE/4*N+4*PE Hager VZ462 до щитів Volta,тримач з клемами 16 n 14 pe 4 n 4 pe hager vz462 до щитів volta,2,3,7
50,Лампа для холодильника РП Іскра Е14 230B 15W S25 прозора,лампа для холодильника рп іскра е14 230b 15w s25 прозора,10,22,41
51,Реле часу аналогове DIN AC/DC 12-240 ETI CRM-2H UNI 1 модульне 2470003,реле часу аналогове din ac dc 12 240 eti crm 2h uni 1 модульне 2470003,6,14,31
52,Розетка із заземлюючим контактом DIN E.Next s004002 e.socket.pro.din.tms 230V,розетка із заземлюючим контактом din e next s004002 e socket pro din tms 230v,10,24,47
53,Перемикач DIN I-0-II 2-полюсний E.Next e.is3.pro.2.40 40А p008024,перемикач din i 0 ii 2 полюсний e next e is3 pro 2 40 40а p008024,1,2,5
54,Кнопка поворотна XB2-BJ33 3-х позиційна подовжена ручка АСКО-УКРЕМ A0140010007,кнопка поворотна xb2 bj33 3 х позиційна подовжена ручка аско укрем a0140010007,5,11,26
55,"Індикатор-викрутка E.Next e.tool.test02 140х3,5 прямий шліц АС100-500В t001102",індикатор викрутка e next e tool test02 140х3 5 прямий шліц ас100 500в t001102,7,16,34
56,"Корпус E.Next e.mbox.stand.w.f3.36.z.e металевий, під 3-ф. електронний лічильник, 36 мод., що вбудовується, з замком",корпус e next e mbox stand w f3 36 z e металевий під 3 ф електронний лічильник 36 мод що вбудовується з замком,1,2,4
57,Корпус щита пластиковий IP20 з кришкою 1-2 модулі,корпус щита пластиковий ip20 з кришкою 1 2 модулі,1,2,3
58,Корпус щита пластиковий Білмакс IP20 без кришки 3-4 модулі,корпус щита пластиковий білмакс ip20 без кришки 3 4 модулі,1,2,3
59,Шина DIN оцинкована УЕК L-10 см YDN10-00100-U,шина din оцинкована уек l 10 см ydn10 00100 u,2,3,6
60,"Наклейка трикутна 85*85*85мм УЕК ""блискавка"" YPC30-MOLNI-3-096",наклейка трикутна 85 85 85мм уек блискавка ypc30 molni 3 096,5,11,24
61,"Наклейка трикутна 100*100*100мм УЕК ""Блискавка"" YPC30-MOLNI-4-096",наклейка трикутна 100 100 100мм уек блискавка ypc30 molni 4 096,5,11,24
62,"Наклейка 40*20мм УЕК ""220В"" YPC10-0220V-1-100",наклейка 40 20мм уек 220в ypc10 0220v 1 100,5,11,24
63,Колодка клемна з кришкою E.Next e.tc.protect.15.12 p056005 15А 12 полюсів,колодка клемна з кришкою e next e tc protect 15 12 p056005 15а 12 полюсів,3,7,17
64,Коробка розподільна IP55 Spelsberg 332-912 I12-L 85*85*37 сіра 33291201,коробка розподільна ip55 spelsberg 332 912 i12 l 85 85 37 сіра 33291201,4,9,21
65,Клемна колодка в корпусі Аско ТВ 1505 A0130050003,клемна колодка в корпусі аско тв 1505 a0130050003,3,7,17
66,Клемна колодка в корпусі Аско ТВ 1504 A0130050002,клемна колодка в корпусі аско тв 1504 a0130050002,3,7,17
67,Патрон люстровий з гайкою E.Next Е27 s9100007 пластиковий чорний,патрон люстровий з гайкою e next е27 s9100007 пластиковий чорний,1,2,5
68,Патрон люстровий з гайкою E.Next e.lamp socket with nut.E27.pl.white Е27 s9100016 білий,патрон люстровий з гайкою e next e lamp socket with nut e27 pl white е27 s9100016 білий,7,15,33
69,Викрутка-пробник електронна УЕК ОП-2е TPR20,викрутка пробник електронна уек оп 2е tpr20,3,5,12
70,Перемикач DIN I-0-II 2-полюсний ETI SSQ 240 40А 002421425,перемикач din i 0 ii 2 полюсний eti ssq 240 40а 002421425,1,2,5
71,"OLFLEX HEAT 180 SiF провід силіконовий термостійкий 4,0",olflex heat 180 sif провід силіконовий термостійкий 4 0,1,2,5
72,Реле часу багатофункціональне AC230 (таблетка) ETI SMR-T 2470004 (в монтажну коробку),реле часу багатофункціональне ac230 таблетка eti smr t 2470004 в монтажну коробку,6,14,31
73,Лампа компактна Osram G23 11W/840 DULUX S,лампа компактна osram g23 11w 840 dulux s,10,22,42
74,Корпус зовнішній без дверок Volta IP30/II Hager VA48CN (VA48B) 48(56) модулів,корпус зовнішній без дверок volta ip30 ii hager va48cn va48b 48 56 модулів,2,3,7
75,Таймер DIN добовий Hager інтервал 15 хвилин 16А 1 модульний EH010 (1нв) кварцевий генератор,таймер din добовий hager інтервал 15 хвилин 16а 1 модульний eh010 1нв кварцевий генератор,1,2,3
76,Блок PE-клем Hager KN26E,блок pe клем hager kn26e,3,5,12
77,Блок N-клем Hager KN26N,блок n клем hager kn26n,3,5,12
78,Лампа ртутно-вольфрамова Delux Е40 250W GYZ 10007874,лампа ртутно вольфрамова delux е40 250w gyz 10007874,10,22,41
79,Лічильник 3 фазний 5- 60А електронний активної енергії NIK-2301 AP2.0000.0.11 (АП2),лічильник 3 фазний 5 60а електронний активної енергії nik 2301 ap2 0000 0 11 ап2,1,2,5
80,Корпус зовнішній прозора дверка Vector IP65/II Hager VE212DN 24 модулів 310*427*151,корпус зовнішній прозора дверка vector ip65 ii hager ve212dn 24 модулів 310 427 151,4,9,21
81,Вимикач автоматичний 1-полюсний RESI9 Schneider 6kA R9F12120 C 20А,вимикач автоматичний 1 полюсний resi9 schneider 6ka r9f12120 c 20а,1,2,3
82,Тримач клем QuickConnect Hager VZ708N до щитів Golf VF/VS 18/22 модулі,тримач клем quickconnect hager vz708n до щитів golf vf vs 18 22 модулі,6,13,30
83,Тримач клем QuickConnect Hager VZ707N до щитів Golf VF/VS 12 модулів,тримач клем quickconnect hager vz707n до щитів golf vf vs 12 модулів,6,13,30
84,Роз’єм модульний до реле ly4 10А E.Next e.control.p104s i.ptf.14a,роз єм модульний до реле ly4 10а e next e control p104s i ptf 14a,8,20,38
85,Лампа розжарювання МО Е27 40W/ 12V,лампа розжарювання мо е27 40w 12v,10,23,45
86,Накладка резинова для конектора 8р8с RJ45,накладка резинова для конектора 8р8с rj45,3,4,11
87,Конектор 8р8с 5 категорії RJ45,конектор 8р8с 5 категорії rj45,3,4,11
88,Вита пара c.5е кабель імпортний UTP (CCA) 4PR 24AWG,вита пара c 5е кабель імпортний utp cca 4pr 24awg,3,5,12
89,Корпус щита пластиковий IP20 з кришкою 1-2 модулі,корпус щита пластиковий ip20 з кришкою 1 2 модулі,1,2,3
90,Перемикач клавішний KCD2-201N GR/B з підсвіткою зелений АСКО-УКРЕМ A0140040102,перемикач клавішний kcd2 201n gr b з підсвіткою зелений аско укрем a0140040102,1,2,3
91,Патрон люстровий з гайкою E.Next e.lamp socket with nut.E27.pl.white Е27 s9100016 білий,патрон люстровий з гайкою e next e lamp socket with nut e27 pl white е27 s9100016 білий,7,15,33
92,Коробка розподільна IP55 Schneider IMT35090 70*70*40,коробка розподільна ip55 schneider imt35090 70 70 40,4,9,21
93,Корпус щита пластиковий зовнішній IP65 ETI ECH 12PT 1101062 прозора горизонтальна дверка,корпус щита пластиковий зовнішній ip65 eti ech 12pt 1101062 прозора горизонтальна дверка,4,9,21
94,Розетка 380V настінна IP44 УЕК 4 полюси 16А ССИ-114 PSR12-016-4-U,розетка 380v настінна ip44 уек 4 полюси 16а сси 114 psr12 016 4 u,10,25,50
95,Корпус щита пластиковий зовнішній IP65 ETI ECH 12PT 1101062 прозора горизонтальна дверка,корпус щита пластиковий зовнішній ip65 eti ech 12pt 1101062 прозора горизонтальна дверка,4,9,21
96,Перемикач клавішний KCD1-2-101N R/B з підсвіткою червоний АСКО-УКРЕМ A0140040053,перемикач клавішний kcd1 2 101n r b з підсвіткою червоний аско укрем a0140040053,1,2,3
97,Перемикач клавішний KCD2-2101N R/B з підсвіткою червоний АСКО-УКРЕМ A0140040109,перемикач клавішний kcd2 2101n r b з підсвіткою червоний аско укрем a0140040109,1,2,3
98,Перемикач клавішний KCD3-101N R/B з підсвіткою червоний АСКО-УКРЕМ A0140040027,перемикач клавішний kcd3 101n r b з підсвіткою червоний аско укрем a0140040027,1,2,3
99,Перемикач клавішний KCD2-3101N R/B з підсвіткою червоний АСКО-УКРЕМ A0140040120,перемикач клавішний kcd2 3101n r b з підсвіткою червоний аско укрем a0140040120,1,2,3
100,Контактор 230V Hager ESC125 25A 1нв,контактор 230v hager esc125 25a 1нв,10,25,48
101,"Вимикач автоматичний 1-полюсний E.Next 4,5кА s002008 16A e.mcb.stand.45.1.C16",вимикач автоматичний 1 полюсний e next 4 5ка s002008 16a e mcb stand 45 1 c16,1,1,2
102,Колодка клемна полістирольна подільна УЕК 12*16 ЗВИ-30А негорюча біла UZV2-030-10,колодка клемна полістирольна подільна уек 12 16 зви 30а негорюча біла uzv2 030 10,2,3,6
103,Реле проміжне 230V AC 5А E.Next e.control.p536 i.my3.230ac,реле проміжне 230v ac 5а e next e control p536 i my3 230ac,8,19,37
104,Корпус щита пластиковий IP20 K-7,корпус щита пластиковий ip20 k 7,1,2,3
105,"Вимикач автоматичний 2-полюсний УЕК 4,5кА ВА 47- 29М C 20А MVA21-2-020-C",вимикач автоматичний 2 полюсний уек 4 5ка ва 47 29м c 20а mva21 2 020 c,1,1,2
106,Вимикач автоматичний 2-полюсний Hager 6kA MC240A C 40A,вимикач автоматичний 2 полюсний hager 6ka mc240a c 40a,1,1,2
107,"Спіральна обв'язка E.Next e.spiral.stand.6.black, 4-50 мм, 10м, чорна  s2038011",спіральна обв язка e next e spiral stand 6 black 4 50 мм 10м чорна s2038011,3,6,16
108,Індикатор модульний LED УЕК ЛС-47М жовтий MLS20-230-K05,індикатор модульний led уек лс 47м жовтий mls20 230 k05,1,1,1
109,Розетка модульна 16А Hager SN016,розетка модульна 16а hager sn016,3,4,11
110,Кріплення для труб 20мм/пакунок 100шт,кріплення для труб 20мм пакунок 100шт,3,5,12
111,Корпус пластиковий зовнішній IP41 УЕК білий ЩРН-П-12 MKP12-N-12-40-10,корпус пластиковий зовнішній ip41 уек білий щрн п 12 mkp12 n 12 40 10,1,2,3
112,Розетка із заземлюючим контактом SHUKO на DIN-рейку Schneider A9A15310 16A 250V,розетка із заземлюючим контактом shuko на din рейку schneider a9a15310 16a 250v,10,25,48
113,Патрон люстровий з гайкою E.Next e.lamp socket with nut.E27.pl.white Е27 s9100016 білий,патрон люстровий з гайкою e next e lamp socket with nut e27 pl white е27 s9100016 білий,7,15,33
114,Клемна колодка в корпусі Аско ТВ 4504 A0130050018,клемна колодка в корпусі аско тв 4504 a0130050018,3,7,17
115,"Лампа галогенова капсульна 12V Philips GY6,35 20W 13104 Caps.line(uv)",лампа галогенова капсульна 12v philips gy6 35 20w 13104 caps line uv,10,22,44
116,Лічильник трифазний E.Next e.control.w05 10(100)А електронний клас 1.0 (некомер) i0310032,лічильник трифазний e next e control w05 10 100 а електронний клас 1 0 некомер i0310032,8,20,38
117,"Клема з’єднувальна з пастою Wago 2273-248 8*0,5-2,5 кв.мм прозора/біла (для монолітних проводів)",клема з єднувальна з пастою wago 2273 248 8 0 5 2 5 кв мм прозора біла для монолітних проводів,2,3,6
118,"Клема з’єднувальна з пастою Wago 2273-242 2*0,5-2,5 кв.мм прозора/біла (для монолітних проводів)",клема з єднувальна з пастою wago 2273 242 2 0 5 2 5 кв мм прозора біла для монолітних проводів,2,3,6
119,Перемикач I-0-II 230V 1-полюсний Hager SFB116 16А вихід знизу,перемикач i 0 ii 230v 1 полюсний hager sfb116 16а вихід знизу,10,25,48
120,"Шина ""N"" DIN-iзольована E.Next p0650013 e.bsi.pro.2.10 (10 відгалужень)",шина n din iзольована e next p0650013 e bsi pro 2 10 10 відгалужень,3,6,16
121,Шина DIN оцинкована УЕК L- 60 см YDN10-0060,шина din оцинкована уек l 60 см ydn10 0060,2,3,6
122,"Корпус E.Next e.mbox.stand.n.06.z металевий, під 6 мод., навісний, з замком  s0100019",корпус e next e mbox stand n 06 z металевий під 6 мод навісний з замком s0100019,1,2,4
123,"Датчик руху 1100W(600VA) 12м IP44 УЕК ДД 012 чорний 180"" LDD10-012-1100-002",датчик руху 1100w 600va 12м ip44 уек дд 012 чорний 180 ldd10 012 1100 002,5,11,23
124,Кріплення для труб 16мм/пакунок 100шт,кріплення для труб 16мм пакунок 100шт,3,5,12
125,Трубка ПВХ гофрована з протяжкою 320N Kopos D 16/1416E D K50D сiра,трубка пвх гофрована з протяжкою 320n kopos d 16 1416e d k50d сiра,5,11,24
126,Корпус щита пластиковий IP20 з кришкою 1-2 модулі,корпус щита пластиковий ip20 з кришкою 1 2 модулі,1,2,3
127,Перемикач клавішний KCD1-2-101N R/B з підсвіткою червоний АСКО-УКРЕМ A0140040053,перемикач клавішний kcd1 2 101n r b з підсвіткою червоний аско укрем a0140040053,1,2,3
128,Перемикач клавішний KCD1-101 Grey/Grey сірий АСКО-УКРЕМ A0140040051,перемикач клавішний kcd1 101 grey grey сірий аско укрем a0140040051,1,2,3
129,Вимикач автоматичний 1-полюсний Hager 6kA MC116A C 16A,вимикач автоматичний 1 полюсний hager 6ka mc116a c 16a,1,1,2
130,Розетка із заземлюючим контактом SHUKO на DIN-рейку Schneider A9A15310 16A 250V,розетка із заземлюючим контактом shuko на din рейку schneider a9a15310 16a 250v,10,25,48
131,Контактор 230V Hager ESC425 25A 4нв,контактор 230v hager esc425 25a 4нв,10,25,48
132,Лічильник 1 фазний 5- 60А електронний активної енергії НІК 2102-02 1кл. 220В M1,лічильник 1 фазний 5 60а електронний активної енергії нік 2102 02 1кл 220в m1,1,2,5
133,Пост Аварійний стоп Аско IP65 XAL-J174 A0140020010,пост аварійний стоп аско ip65 xal j174 a0140020010,1,2,5
134,Реле сутінкове Euroelectric 10A IP44 ST-312 біле,реле сутінкове euroelectric 10a ip44 st 312 біле,10,24,46
135,Вимикач автоматичний 2-полюсний Hager 6kA MC263A C 63A,вимикач автоматичний 2 полюсний hager 6ka mc263a c 63a,1,1,2
136,Вилка 220V кабельна IP44 УЕК 3 полюси 16А ССИ-013 PSR01-016-3-U,вилка 220v кабельна ip44 уек 3 полюси 16а сси 013 psr01 016 3 u,10,25,50
137,Блок PE-клем Hager KN18E,блок pe клем hager kn18e,3,5,12
138,Корпус зовнішній димчасті дверки Golf IP40/II Hager VS312TD 3*12 модулів ніша 500*282*99,корпус зовнішній димчасті дверки golf ip40 ii hager vs312td 3 12 модулів ніша 500 282 99,6,13,30
139,"Затискач проколюючий вітчизняний ЗПАм (магiстраль 10-95 / вiдгалудження 1,5-10)",затискач проколюючий вітчизняний зпам магiстраль 10 95 вiдгалудження 1 5 10,1,2,3
140,"Лампа галогенова капсульна 12V Osram GY6,35 20W 64427S Halostar Starlit",лампа галогенова капсульна 12v osram gy6 35 20w 64427s halostar starlit,10,22,42
141,Контактор 230V Hager ESC464 63A 4нз,контактор 230v hager esc464 63a 4нз,10,25,48
142,Перемикач I-0-II 230V 2-полюсний Hager SFB216 16А вихід знизу (Перемикач вводу резерву),перемикач i 0 ii 230v 2 полюсний hager sfb216 16а вихід знизу перемикач вводу резерву,10,25,48
143,"Реле тимчасового ввімкнення (0,3-30 сек) при подачі напруги E.Next e.control.t16 i0310028",реле тимчасового ввімкнення 0 3 30 сек при подачі напруги e next e control t16 i0310028,8,20,38
144,Вимикач кнопочний 230V Hager SVN413 16А 1нв зелений індикатор,вимикач кнопочний 230v hager svn413 16а 1нв зелений індикатор,10,25,48
145,"Диференційний автомат 2-полюсний 6kA Hager AC966J C A-16/0,01А",диференційний автомат 2 полюсний 6ka hager ac966j c a 16 0 01а,1,2,3
146,Тримач запобіжника 1-полюсний ETI PLNV-00/1A M8-M8 1701021,тримач запобіжника 1 полюсний eti plnv 00 1a m8 m8 1701021,1,2,5
147,Запобіжник 120kA 500V gl/gG ETI NH1 Kombi 250А 4184219,запобіжник 120ka 500v gl gg eti nh1 kombi 250а 4184219,10,25,49
148,Датчик руху інфрачервоний Е27 IP20 E.Next e.sensor.pir.451.e27.white s061020 білий,датчик руху інфрачервоний е27 ip20 e next e sensor pir 451 e27 white s061020 білий,8,18,36
149,Індикатор модульний LED Hager SVN121 зелений,індикатор модульний led hager svn121 зелений,1,1,1
150,Корпус пластиковий зовнішній IP65 УЕК ЩМПп 300*200*130 УХЛ1 MKP93-N-302013-65-U,корпус пластиковий зовнішній ip65 уек щмпп 300 200 130 ухл1 mkp93 n 302013 65 u,1,2,3
151,Контакт стану 220V 6А DIN УЕК КС-47(OF) MVA00D-KS-1,контакт стану 220v 6а din уек кс 47 of mva00d ks 1,10,25,48
152,"ШВВП провід вітчизняний 2*0,5",шввп провід вітчизняний 2 0 5,1,2,3
153,Домовент вентилятор без решітки 100 ВКО,домовент вентилятор без решітки 100 вко,2,3,8
154,"Диференційний автомат 2-полюсний 6кА Hager AD990J C A-40/0,03А",диференційний автомат 2 полюсний 6ка hager ad990j c a 40 0 03а,1,2,3
155,"Диференційний автомат 2-полюсний 6кА Hager AD982J C A-32/0,03А",диференційний автомат 2 полюсний 6ка hager ad982j c a 32 0 03а,1,2,3
156,"Диференційний автомат 2-полюсний 6кА Hager AD960J C A-10/0,03А",диференційний автомат 2 полюсний 6ка hager ad960j c a 10 0 03а,1,2,3
157,Бокс зовнішній Білмакс IP31 БМ- 40С 250*400*140,бокс зовнішній білмакс ip31 бм 40с 250 400 140,2,3,6
158,Лампа для холодильника РП Іскра Е14 230B 15W S25 прозора,лампа для холодильника рп іскра е14 230b 15w s25 прозора,10,22,41
159,Лампа для духовки Osram SPC.T OVEN CL 15W 230V E14 прозора,лампа для духовки osram spc t oven cl 15w 230v e14 прозора,10,24,47
160,Індикатор модульний LED УЕК ЛС-47М жовтий MLS20-230-K05,індикатор модульний led уек лс 47м жовтий mls20 230 k05,1,1,1
161,Шина Hager з’єднувальна вилочна 2-полюсний 57 модулів 10 мм.кв. FORK KDN263B,шина hager з єднувальна вилочна 2 полюсний 57 модулів 10 мм кв fork kdn263b,5,12,27
162,Тримач з клемами 11*N+11*PE/3*N+3*PE Hager VZ461 до щитів Volta,тримач з клемами 11 n 11 pe 3 n 3 pe hager vz461 до щитів volta,2,3,7
163,Блок фазних клем Hager KN22P,блок фазних клем hager kn22p,3,5,12
164,Блок фазних клем Hager KN18P,блок фазних клем hager kn18p,3,5,12
165,"Вимикач автоматичнийдля захисту двигуна 3-полюсний ETI MS25-10 (6,3-10) 4600100",вимикач автоматичнийдля захисту двигуна 3 полюсний eti ms25 10 6 3 10 4600100,1,2,5
166,"Корпус E.Next e.mbox.stand.n.48.z металевий, під 48 мод., навісний, з замком  s0100124",корпус e next e mbox stand n 48 z металевий під 48 мод навісний з замком s0100124,1,2,4
167,Реле проміжне 12V DC 10A УЕК РЭК77/3 RRP10-3-10-012D-U,реле проміжне 12v dc 10a уек рэк77 3 rrp10 3 10 012d u,10,23,45
168,Перемикач I-0-II 230V 2-полюсний Hager SFB216 16А вихід знизу (Перемикач вводу резерву),перемикач i 0 ii 230v 2 полюсний hager sfb216 16а вихід знизу перемикач вводу резерву,10,25,48
169,"Вимикач автоматичний 1-полюсний E.Next 4,5кА s002008 16A e.mcb.stand.45.1.C16",вимикач автоматичний 1 полюсний e next 4 5ка s002008 16a e mcb stand 45 1 c16,1,1,2
170,Перемикач I-0-II 230V 1-полюсний Hager SFB116 16А вихід знизу,перемикач i 0 ii 230v 1 полюсний hager sfb116 16а вихід знизу,10,25,48
171,Лічильник 3 фазний 5-120А електронний активної енергії NIK-2301 AP3.0000.0.11 (АП3),лічильник 3 фазний 5 120а електронний активної енергії nik 2301 ap3 0000 0 11 ап3,1,2,5
172,Вимикач-роз‘єднувач 3-полюсний Коренево ВР32-31 100А/1 В31250-32 УХЛЗ,вимикач роз єднувач 3 полюсний коренево вр32 31 100а 1 в31250 32 ухлз,1,2,5
173,Запобіжник 400V ETI CH 8*32 gG 10А 2610007,запобіжник 400v eti ch 8 32 gg 10а 2610007,10,25,49
174,"Сигнальний кабель 6х0.22 біметал, неекранований Alarm Cable",сигнальний кабель 6х0 22 біметал неекранований alarm cable,8,18,36
175,Конектор 8р8с 5 категорії екранований RJ45,конектор 8р8с 5 категорії екранований rj45,3,4,11
176,Реле проміжне 230V AC 10А E.Next e.control.p1046 i.ly4.230ac,реле проміжне 230v ac 10а e next e control p1046 i ly4 230ac,10,23,45
177,Вимикач автоматичний 1-полюсний Hager 6kA MB116A B 16A,вимикач автоматичний 1 полюсний hager 6ka mb116a b 16a,1,1,2
